timestamp,symbol,bid_px,bid_sz,ask_px,ask_sz
2026-09-18 09:30:01.286,XYZ,150.0,2500,150.01,100
2026-09-18 09:30:01.665,XYZ,150.0,200,150.01,1500
2026-09-18 09:30:02.039,XYZ,150.0,2500,150.01,2500
2026-09-18 09:30:04.184,XYZ,149.98,500,149.98,800
2026-09-18 09:30:05.500,XYZ,149.98,600,149.99,550
2026-09-18 09:30:06.700,XYZ,149.99,900,150.00,400
2026-09-18 09:30:07.900,XYZ,150.00,1400,150.01,300
2026-09-18 09:30:09.200,XYZ,150.01,1800,150.02,200
2026-09-18 09:30:10.400,XYZ,150.01,300,150.02,1600
2026-09-18 09:30:11.600,XYZ,150.00,400,150.01,1900
